time,event
1690393079.9,out left
1690393081.5,in left
1690393089.3,in right
1690393119.5,in right
1690393123.9,in right
1690393132.7,out left
1690393139.3,out left
1690393184.0,in right
1690393197.5,out left
1690393210.1,in right
1690393214.0,out left
1690393228.1,out left
1690393250.6,out left
1690393252.9,in right
1690393282.6,out right
1690393297.6,out right
1690393307.9,out left
1690393319.5,out left
1690393337.6,out left
1690393344.9,out left
1690393346.8,in left
1690393411.9,out left
