time,event
1689714600.93,in right
1689714601.03,in right
1689714607.43,in left
1689714615.33,in left
1689714641.33,in right
1689714663.93,in right
1689714667.83,in right
1689714673.83,in right
1689714676.63,in right
1689714679.33,in right
1689714681.83,in right
1689714684.43,in right
1689714709.83,in right
1689714720.13,in right
1689714722.73,in right
1689714737.53,out left
1689714745.73,out left
1689714748.33,out left
