time,left,right,total
1690393045.1,0, 0, 0
1690393045.2,0, 0, 0
1690393045.3,0, 0, 0
1690393045.4,0, 0, 0
1690393045.5,0, 0, 0
1690393045.6,0, 0, 0
1690393045.7,0, 0, 0
1690393045.8,0, 0, 0
1690393045.9,0, 0, 0
1690393046.0,0, 0, 0
1690393046.1,0, 0, 0
1690393046.2,0, 0, 0
1690393046.3,0, 0, 0
1690393046.4,0, 0, 0
1690393046.5,0, 0, 0
1690393046.6,0, 0, 0
1690393046.7,0, 0, 0
1690393046.8,0, 0, 0
1690393046.9,0, 0, 0
1690393047.0,0, 0, 0
1690393047.1,0, 0, 0
1690393047.2,0, 0, 0
1690393047.3,0, 0, 0
1690393047.4,0, 0, 0
1690393047.5,0, 0, 0
1690393047.6,0, 0, 0
1690393047.7,0, 0, 0
1690393047.8,0, 0, 0
1690393047.9,0, 0, 0
1690393048.0,0, 0, 0
1690393048.1,0, 0, 0
1690393048.2,0, 0, 0
1690393048.3,0, 0, 0
1690393048.4,0, 0, 0
1690393048.5,0, 0, 0
1690393048.6,0, 0, 0
1690393048.7,0, 0, 0
1690393048.8,0, 0, 0
1690393048.9,0, 0, 0
1690393049.0,0, 0, 0
1690393049.1,0, 0, 0
1690393049.2,0, 0, 0
1690393049.3,0, 0, 0
1690393049.4,0, 0, 0
1690393049.5,0, 0, 0
1690393049.6,0, 0, 0
1690393049.7,0, 0, 0
1690393049.8,0, 0, 0
1690393049.9,0, 0, 0
1690393050.0,0, 0, 0
1690393050.1,0, 0, 0
1690393050.2,0, 0, 0
1690393050.3,0, 0, 0
1690393050.4,0, 0, 0
1690393050.5,0, 0, 0
1690393050.6,0, 0, 0
1690393050.7,0, 0, 0
1690393050.8,0, 0, 0
1690393050.9,0, 0, 0
1690393051.0,0, 0, 0
1690393051.1,0, 0, 0
1690393051.2,0, 0, 0
1690393051.3,0, 0, 0
1690393051.4,0, 0, 0
1690393051.5,0, 0, 0
1690393051.6,0, 0, 0
1690393051.7,0, 0, 0
1690393051.8,0, 0, 0
1690393051.9,0, 0, 0
1690393052.0,0, 0, 0
1690393052.1,0, 0, 0
1690393052.2,0, 0, 0
1690393052.3,0, 0, 0
1690393052.4,0, 0, 0
1690393052.5,0, 0, 0
1690393052.6,0, 0, 0
1690393052.7,0, 0, 0
1690393052.8,0, 0, 0
1690393052.9,0, 0, 0
1690393053.0,0, 0, 0
1690393053.1,0, 0, 0
1690393053.2,0, 0, 0
1690393053.3,0, 0, 0
1690393053.4,0, 0, 0
1690393053.5,0, 0, 0
1690393053.6,0, 0, 0
1690393053.7,0, 0, 0
1690393053.8,0, 0, 0
1690393053.9,0, 0, 0
1690393054.0,0, 0, 0
1690393054.1,0, 0, 0
1690393054.2,0, 0, 0
1690393054.3,0, 0, 0
1690393054.4,0, 0, 0
1690393054.5,0, 0, 0
1690393054.6,0, 0, 0
1690393054.7,0, 0, 0
1690393054.8,0, 0, 0
1690393054.9,0, 0, 0
1690393055.0,0, 0, 0
1690393055.1,0, 0, 0
1690393055.2,0, 0, 0
1690393055.3,0, 0, 0
1690393055.4,0, 0, 0
1690393055.5,0, 0, 0
1690393055.6,0, 0, 0
1690393055.7,0, 0, 0
1690393055.8,0, 0, 0
1690393055.9,0, 0, 0
1690393056.0,0, 0, 0
1690393056.1,0, 0, 0
1690393056.2,0, 0, 0
