time,left,right,total
1689369504.3,0, 0, 0
1689369504.4,0, 0, 0
1689369504.5,0, 0, 0
1689369504.6,0, 0, 0
1689369504.7,0, 0, 0
1689369504.8,0, 0, 0
1689369504.9,0, 0, 0
1689369505.0,0, 0, 0
1689369505.1,0, 0, 0
1689369505.2,0, 0, 0
1689369505.3,0, 0, 0
1689369505.4,0, 0, 0
1689369505.5,0, 0, 0
1689369505.6,0, 0, 0
1689369505.7,0, 0, 0
1689369505.8,0, 0, 0
1689369505.9,0, 0, 0
1689369506.0,0, 0, 0
1689369506.1,0, 0, 0
1689369506.2,0, 0, 0
1689369506.3,0, 0, 0
1689369506.4,0, 0, 0
1689369506.5,0, 0, 0
1689369506.6,0, 0, 0
1689369506.7,0, 0, 0
1689369506.8,0, 0, 0
1689369506.9,0, 0, 0
1689369507.0,0, 0, 0
1689369507.1,0, 0, 0
1689369507.2,0, 0, 0
1689369507.3,0, 0, 0
1689369507.4,0, 0, 0
1689369507.5,0, 0, 0
1689369507.6,0, 0, 0
1689369507.7,0, 0, 0
1689369507.8,0, 0, 0
1689369507.9,0, 0, 0
1689369508.0,0, 0, 0
1689369508.1,0, 0, 0
1689369508.2,0, 0, 0
1689369508.3,0, 0, 0
1689369508.4,0, 0, 0
1689369508.5,0, 0, 0
1689369508.6,0, 0, 0
1689369508.7,0, 0, 0
1689369508.8,0, 0, 0
1689369508.9,0, 0, 0
1689369509.0,0, 0, 0
1689369509.1,0, 0, 0
1689369509.2,0, 0, 0
1689369509.3,0, 0, 0
1689369509.4,0, 0, 0
1689369509.5,0, 0, 0
1689369509.6,0, 0, 0
1689369509.7,0, 0, 0
1689369509.8,0, 0, 0
1689369509.9,0, 0, 0
1689369510.0,0, 0, 0
1689369510.1,0, 0, 0
1689369510.2,0, 0, 0
1689369510.3,0, 0, 0
1689369510.4,0, 0, 0
1689369510.5,0, 0, 0
1689369510.6,0, 0, 0
1689369510.7,0, 0, 0
1689369510.8,0, 0, 0
1689369510.9,0, 0, 0
1689369511.0,0, 0, 0
1689369511.1,0, 0, 0
1689369511.2,0, 0, 0
1689369511.3,0, 0, 0
1689369511.4,0, 0, 0
1689369511.5,0, 0, 0
1689369511.6,0, 0, 0
1689369511.7,0, 0, 0
1689369511.8,0, 0, 0
1689369511.9,0, 0, 0
1689369512.0,0, 0, 0
1689369512.1,0, 0, 0
1689369512.2,0, 0, 0
1689369512.3,0, 0, 0
1689369512.4,0, 0, 0
1689369512.5,0, 0, 0
1689369512.6,0, 0, 0
1689369512.7,0, 0, 0
1689369512.8,0, 0, 0
1689369512.9,0, 0, 0
1689369513.0,0, 0, 0
1689369513.1,0, 0, 0
1689369513.2,0, 0, 0
1689369513.3,0, 0, 0
1689369513.4,0, 0, 0
1689369513.5,0, 0, 0
1689369513.6,0, 0, 0
1689369513.7,0, 0, 0
1689369513.8,0, 0, 0
1689369513.9,0, 0, 0
1689369514.0,0, 0, 0
1689369514.1,0, 0, 0
1689369514.2,0, 0, 0
1689369514.3,0, 0, 0
1689369514.4,0, 0, 0
1689369514.5,0, 0, 0
1689369514.6,0, 0, 0
1689369514.7,0, 0, 0
1689369514.8,0, 0, 0
1689369514.9,0, 0, 0
1689369515.0,0, 0, 0
1689369515.1,0, 0, 0
1689369515.2,0, 0, 0
1689369515.3,0, 0, 0
1689369515.4,0, 0, 0
