time,left,right,total
1690395551.3,0, 1, 1
1690395551.4,0, 1, 1
1690395551.5,0, 1, 1
1690395551.6,0, 1, 1
1690395551.7,0, 1, 1
1690395551.8,0, 0, 0
1690395551.9,0, 0, 0
1690395552.0,0, 0, 0
1690395552.1,0, 0, 0
1690395552.2,0, 0, 0
1690395552.3,0, 0, 0
1690395552.4,0, 0, 0
1690395552.5,0, 0, 0
1690395552.6,0, 0, 0
1690395552.7,0, 0, 0
1690395552.8,0, 0, 0
1690395552.9,0, 0, 0
1690395553.0,0, 0, 0
1690395553.1,0, 0, 0
1690395553.2,0, 0, 0
1690395553.3,0, 0, 0
1690395553.4,0, 0, 0
1690395553.5,0, 0, 0
1690395553.6,0, 0, 0
1690395553.7,0, 0, 0
1690395553.8,0, 0, 0
1690395553.9,0, 0, 0
1690395554.0,0, 0, 0
1690395554.1,0, 0, 0
1690395554.2,0, 0, 0
1690395554.3,0, 0, 0
1690395554.4,0, 0, 0
1690395554.5,0, 0, 0
1690395554.6,0, 0, 0
1690395554.7,0, 0, 0
1690395554.8,0, 0, 0
1690395554.9,0, 0, 0
1690395555.0,0, 0, 0
1690395555.1,0, 0, 0
1690395555.2,0, 0, 0
1690395555.3,0, 0, 0
1690395555.4,0, 0, 0
1690395555.5,0, 0, 0
1690395555.6,0, 0, 0
1690395555.7,0, 0, 0
1690395555.8,0, 0, 0
1690395555.9,0, 0, 0
1690395556.0,0, 0, 0
1690395556.1,0, 0, 0
1690395556.2,0, 0, 0
1690395556.3,0, 0, 0
1690395556.4,0, 0, 0
1690395556.5,0, 0, 0
1690395556.6,0, 0, 0
1690395556.7,0, 0, 0
1690395556.8,0, 0, 0
1690395556.9,0, 0, 0
1690395557.0,0, 0, 0
1690395557.1,0, 0, 0
1690395557.2,0, 0, 0
1690395557.3,0, 0, 0
1690395557.4,0, 0, 0
1690395557.5,0, 0, 0
1690395557.6,0, 0, 0
1690395557.7,0, 0, 0
1690395557.8,0, 0, 0
1690395557.9,0, 0, 0
1690395558.0,0, 0, 0
1690395558.1,0, 0, 0
1690395558.2,0, 0, 0
1690395558.3,0, 0, 0
1690395558.4,1, 0, 1
1690395558.5,1, 0, 1
1690395558.6,0, 0, 0
1690395558.7,0, 0, 0
1690395558.8,1, 0, 1
1690395558.9,1, 0, 1
1690395559.0,1, 0, 1
1690395559.1,1, 0, 1
1690395559.2,1, 0, 1
1690395559.3,1, 0, 1
1690395559.4,1, 0, 1
1690395559.5,1, 0, 1
1690395559.6,1, 0, 1
1690395559.7,1, 0, 1
1690395559.8,1, 0, 1
1690395559.9,1, 0, 1
1690395560.0,1, 0, 1
1690395560.1,1, 0, 1
1690395560.2,1, 0, 1
1690395560.3,1, 0, 1
1690395560.4,1, 0, 1
1690395560.5,1, 0, 1
1690395560.6,1, 0, 1
1690395560.7,0, 0, 0
1690395560.8,0, 0, 0
1690395560.9,0, 0, 0
1690395561.0,0, 0, 0
1690395561.1,0, 0, 0
1690395561.2,0, 0, 0
1690395561.3,0, 0, 0
1690395561.4,0, 0, 0
1690395561.5,0, 0, 0
1690395561.6,0, 0, 0
1690395561.7,0, 0, 0
1690395561.8,0, 0, 0
1690395561.9,0, 0, 0
1690395562.0,0, 0, 0
1690395562.1,0, 0, 0
1690395562.2,0, 0, 0
1690395562.3,0, 0, 0
1690395562.4,0, 0, 0
1690395562.5,0, 0, 0
1690395562.6,0, 0, 0
1690395562.7,0, 0, 0
1690395562.8,0, 0, 0
1690395562.9,0, 0, 0
1690395563.0,0, 0, 0
1690395563.1,0, 0, 0
1690395563.2,0, 0, 0
1690395563.3,0, 0, 0
1690395563.4,0, 0, 0
1690395563.5,0, 0, 0
1690395563.6,0, 0, 0
1690395563.7,0, 0, 0
1690395563.8,0, 0, 0
1690395563.9,0, 0, 0
1690395564.0,0, 0, 0
1690395564.1,0, 0, 0
1690395564.2,0, 0, 0
1690395564.3,0, 0, 0
1690395564.4,0, 0, 0
1690395564.5,0, 0, 0
1690395564.6,0, 0, 0
1690395564.7,0, 0, 0
1690395564.8,0, 0, 0
1690395564.9,0, 0, 0
1690395565.0,0, 0, 0
1690395565.1,0, 0, 0
1690395565.2,0, 0, 0
1690395565.3,0, 0, 0
1690395565.4,0, 0, 0
1690395565.5,0, 0, 0
1690395565.6,0, 0, 0
1690395565.7,0, 0, 0
1690395565.8,0, 0, 0
1690395565.9,0, 0, 0
1690395566.0,0, 0, 0
1690395566.1,0, 0, 0
1690395566.2,0, 0, 0
1690395566.3,0, 0, 0
1690395566.4,0, 0, 0
1690395566.5,0, 0, 0
1690395566.6,0, 0, 0
1690395566.7,0, 0, 0
1690395566.8,0, 0, 0
1690395566.9,0, 0, 0
1690395567.0,0, 0, 0
1690395567.1,0, 0, 0
1690395567.2,0, 0, 0
1690395567.3,0, 0, 0
1690395567.4,0, 0, 0
1690395567.5,0, 0, 0
1690395567.6,0, 0, 0
1690395567.7,0, 0, 0
1690395567.8,0, 0, 0
1690395567.9,0, 0, 0
1690395568.0,0, 0, 0
1690395568.1,0, 0, 0
1690395568.2,0, 0, 0
1690395568.3,0, 0, 0
1690395568.4,0, 0, 0
1690395568.5,0, 0, 0
1690395568.6,0, 0, 0
1690395568.7,0, 0, 0
1690395568.8,0, 0, 0
1690395568.9,0, 0, 0
1690395569.0,0, 0, 0
1690395569.1,0, 0, 0
1690395569.2,0, 0, 0
1690395569.3,0, 0, 0
1690395569.4,0, 0, 0
1690395569.5,0, 0, 0
1690395569.6,0, 0, 0
1690395569.7,0, 0, 0
1690395569.8,0, 0, 0
1690395569.9,0, 0, 0
1690395570.0,0, 0, 0
1690395570.1,0, 0, 0
1690395570.2,0, 0, 0
1690395570.3,0, 0, 0
1690395570.4,0, 0, 0
1690395570.5,0, 0, 0
1690395570.6,0, 0, 0
1690395570.7,0, 0, 0
1690395570.8,0, 0, 0
1690395570.9,0, 0, 0
1690395571.0,0, 0, 0
1690395571.1,0, 0, 0
1690395571.2,0, 0, 0
1690395571.3,0, 0, 0
1690395571.4,0, 0, 0
1690395571.5,0, 0, 0
1690395571.6,0, 0, 0
1690395571.7,0, 0, 0
1690395571.8,0, 0, 0
1690395571.9,0, 0, 0
1690395572.0,0, 0, 0
1690395572.1,0, 0, 0
1690395572.2,0, 0, 0
1690395572.3,0, 0, 0
1690395572.4,0, 0, 0
1690395572.5,0, 0, 0
1690395572.6,0, 0, 0
1690395572.7,0, 0, 0
1690395572.8,0, 0, 0
1690395572.9,0, 0, 0
1690395573.0,0, 0, 0
1690395573.1,0, 0, 0
1690395573.2,0, 0, 0
1690395573.3,0, 0, 0
1690395573.4,0, 0, 0
1690395573.5,0, 0, 0
1690395573.6,0, 0, 0
1690395573.7,0, 0, 0
1690395573.8,0, 0, 0
1690395573.9,0, 0, 0
1690395574.0,0, 0, 0
1690395574.1,0, 0, 0
1690395574.2,0, 0, 0
1690395574.3,0, 0, 0
1690395574.4,0, 0, 0
1690395574.5,0, 0, 0
1690395574.6,0, 0, 0
1690395574.7,0, 0, 0
1690395574.8,0, 0, 0
1690395574.9,0, 0, 0
1690395575.0,0, 0, 0
1690395575.1,0, 0, 0
1690395575.2,0, 0, 0
1690395575.3,0, 0, 0
1690395575.4,0, 0, 0
1690395575.5,0, 0, 0
1690395575.6,0, 0, 0
1690395575.7,0, 0, 0
1690395575.8,0, 0, 0
1690395575.9,0, 0, 0
1690395576.0,0, 0, 0
1690395576.1,0, 0, 0
1690395576.2,0, 0, 0
1690395576.3,0, 0, 0
1690395576.4,0, 0, 0
1690395576.5,0, 0, 0
1690395576.6,0, 0, 0
1690395576.7,0, 0, 0
1690395576.8,0, 0, 0
1690395576.9,0, 0, 0
1690395577.0,0, 0, 0
1690395577.1,0, 0, 0
1690395577.2,0, 0, 0
1690395577.3,0, 0, 0
1690395577.4,0, 0, 0
1690395577.5,0, 0, 0
1690395577.6,0, 0, 0
1690395577.7,0, 0, 0
1690395577.8,0, 0, 0
1690395577.9,0, 0, 0
1690395578.0,0, 0, 0
1690395578.1,0, 0, 0
1690395578.2,0, 0, 0
1690395578.3,0, 0, 0
1690395578.4,0, 0, 0
1690395578.5,0, 0, 0
1690395578.6,0, 0, 0
1690395578.7,0, 0, 0
1690395578.8,0, 0, 0
1690395578.9,0, 0, 0
1690395579.0,0, 0, 0
1690395579.1,0, 0, 0
1690395579.2,0, 0, 0
1690395579.3,0, 0, 0
1690395579.4,0, 0, 0
1690395579.5,0, 0, 0
1690395579.6,0, 0, 0
1690395579.7,0, 0, 0
1690395579.8,0, 0, 0
1690395579.9,0, 0, 0
1690395580.0,0, 0, 0
1690395580.1,0, 0, 0
1690395580.2,0, 0, 0
1690395580.3,0, 0, 0
1690395580.4,0, 0, 0
1690395580.5,0, 0, 0
1690395580.6,0, 0, 0
1690395580.7,0, 0, 0
1690395580.8,0, 0, 0
1690395580.9,0, 0, 0
1690395581.0,0, 0, 0
1690395581.1,0, 0, 0
1690395581.2,0, 0, 0
1690395581.3,0, 0, 0
1690395581.4,0, 0, 0
1690395581.5,0, 0, 0
1690395581.6,0, 0, 0
1690395581.7,0, 0, 0
1690395581.8,0, 0, 0
1690395581.9,0, 0, 0
1690395582.0,0, 0, 0
1690395582.1,0, 0, 0
1690395582.2,0, 0, 0
1690395582.3,0, 0, 0
1690395582.4,0, 0, 0
1690395582.5,0, 0, 0
1690395582.6,0, 0, 0
1690395582.7,0, 0, 0
1690395582.8,0, 0, 0
1690395582.9,0, 0, 0
1690395583.0,0, 0, 0
1690395583.1,0, 0, 0
1690395583.2,0, 0, 0
1690395583.3,0, 0, 0
1690395583.4,0, 0, 0
1690395583.5,0, 0, 0
1690395583.6,0, 0, 0
1690395583.7,0, 0, 0
1690395583.8,0, 0, 0
1690395583.9,0, 0, 0
1690395584.0,0, 0, 0
1690395584.1,0, 0, 0
1690395584.2,0, 0, 0
1690395584.3,0, 0, 0
1690395584.4,0, 0, 0
1690395584.5,0, 0, 0
1690395584.6,0, 0, 0
1690395584.7,0, 0, 0
1690395584.8,0, 0, 0
1690395584.9,0, 0, 0
1690395585.0,0, 0, 0
1690395585.1,0, 0, 0
1690395585.2,0, 0, 0
1690395585.3,0, 0, 0
1690395585.4,0, 0, 0
1690395585.5,0, 0, 0
1690395585.6,0, 0, 0
1690395585.7,0, 0, 0
1690395585.8,0, 0, 0
1690395585.9,0, 0, 0
1690395586.0,0, 0, 0
1690395586.1,0, 0, 0
1690395586.2,0, 0, 0
1690395586.3,0, 0, 0
1690395586.4,0, 0, 0
1690395586.5,0, 0, 0
1690395586.6,0, 0, 0
1690395586.7,0, 0, 0
1690395586.8,0, 0, 0
1690395586.9,0, 0, 0
1690395587.0,0, 0, 0
1690395587.1,0, 0, 0
1690395587.2,0, 0, 0
1690395587.3,0, 0, 0
1690395587.4,0, 0, 0
1690395587.5,0, 0, 0
1690395587.6,0, 0, 0
1690395587.7,0, 0, 0
1690395587.8,0, 0, 0
1690395587.9,0, 0, 0
1690395588.0,0, 0, 0
1690395588.1,0, 0, 0
1690395588.2,0, 0, 0
1690395588.3,0, 0, 0
1690395588.4,0, 0, 0
1690395588.5,0, 0, 0
1690395588.6,0, 0, 0
1690395588.7,0, 0, 0
1690395588.8,0, 0, 0
1690395588.9,0, 0, 0
1690395589.0,0, 0, 0
1690395589.1,0, 0, 0
1690395589.2,0, 0, 0
1690395589.3,0, 0, 0
1690395589.4,0, 0, 0
1690395589.5,0, 0, 0
1690395589.6,0, 0, 0
1690395589.7,0, 0, 0
1690395589.8,0, 0, 0
1690395589.9,0, 0, 0
1690395590.0,0, 0, 0
1690395590.1,0, 0, 0
1690395590.2,0, 0, 0
1690395590.3,0, 0, 0
1690395590.4,0, 0, 0
1690395590.5,0, 0, 0
1690395590.6,0, 0, 0
1690395590.7,0, 0, 0
1690395590.8,0, 0, 0
1690395590.9,0, 0, 0
1690395591.0,0, 0, 0
1690395591.1,0, 0, 0
1690395591.2,0, 0, 0
1690395591.3,0, 0, 0
1690395591.4,0, 0, 0
1690395591.5,0, 0, 0
1690395591.6,0, 0, 0
1690395591.7,0, 0, 0
1690395591.8,0, 0, 0
